id	source_id	related_id		
0B0884F377B54B86B9A70DB567615690	B228F26B718240CF85444BAFDDE32B74	8ACC8129718F487EAAA2ADDB15408CFB		
0B0B01302E264E50A663782790AE7E3F	E2950013655D4C01A8F69E95227EC7AC	135FC145CCD24E289B799A293A996B9B		
0D585A9EA15843F8BFE98F76D71A3572	BE7F7C69DD2842519D71D3C3E840E20E	BCFEACD2D00D4E6C8560B20BE2E34D34		
0EB7057F3D6B45FBA5C98D17252D5A94	0D7483BFDFF04295A7791AE49ED09B78	2348FEDB34DE42D3B7A70F17C0DBB36F		
1CD4157AE432469789685BF2BA8B0F60	1B1D7C94A6D14F8F856E7675FB3573AD	B253CC97FEFF45F6B5E086FBB323AB53		
2076EF61AAB64D04AF43644F0550A5A8	441C39D9CBFC4B6FB9FB2A7FA96B8354	282D35D4D4DD4488B6C79675050E76B9		
22703274746D4C739FAA1092AE3F25EB	53F3A173347E4631B71DD06BFCD38627	135FC145CCD24E289B799A293A996B9B		
2489AD0B76714D85B09822C1D3820512	F45D3BB1BC5D46AEBE9C6E2D65887DFF	7D3BD5DC755846C68BD228F4F14B5E18		
25A3BAB897D440BFBF8F25AFA7D3485B	45BF68FC62DF4F9195424E118AA778F1	00C7C877F0E945EE817314F8712AA7E4		
2A65F68C046C44C4BF0E651355FB42B4	EC150EE12CA24D5FAC2BE319DD620603	D5106EFD56AE4CC1B6DE9EC9879DDC9B		
2B381C8E94FA444D977815403423EBD2	53F3A173347E4631B71DD06BFCD38627	00C7C877F0E945EE817314F8712AA7E4		
32FEB7C5D1F44EAA912F52A981EE2A45	0AFCA8613A7D459DB1076F950F88717E	53005649877549C0BAEC58960AA0FAF8		
374C6E400F944351B7295ECA4350F89C	534B0B2819BD48D58E133D39E6BC596C	00C7C877F0E945EE817314F8712AA7E4		
3A48D79AC9C545A7B2B6720CA18DE4E5	807F7931F4F6480B9B3769BFF4C88140	69DA5886930344E2A684F270C0BB21B9		
3AC82A2AE90B4D8A9A9A3A0B4CC6C0BB	0089CDF2BD3C44288B9646A88EC10A54	199DC979D2874964BDA9871CBA809E2D		
