id	source_id	related_id	quantity		
A7CB559FFBAB4553AEFF6DEFAAE8621F	29063B9CB0644ACCAA33DA968923A4FE	FC02B36A9D854A158F1C5A0F6921FAF4	1		
4FDC14299C1E4381A511B71B9486215D	29063B9CB0644ACCAA33DA968923A4FE	5B1FDC288DEC4A7A98DFAFF4A3ACFD10	5		
03722D4B799F48238379D36DE8400D0D	29063B9CB0644ACCAA33DA968923A4FE	43E285438D3D42A18AE8117A366E56AC	1		
E56FD4E28A3E4D66A13DAABB1A7D08CD	29063B9CB0644ACCAA33DA968923A4FE	8E98A57123294F45B3FB09A0A9006D10	1		
E061630236254D6399758F5A7C908021	85422C70C70F4D6BA34CE8FE9D7AD2DB	89D6605395794CDAAB7302F06775E831	1		
0E62EAE849BB4AE6B323A601721ABDB9	85422C70C70F4D6BA34CE8FE9D7AD2DB	4557166B898E434299B290E9BEFCCAA0	1		
6E54007F588340D6876660CB20B5C5E5	85422C70C70F4D6BA34CE8FE9D7AD2DB	5B1FDC288DEC4A7A98DFAFF4A3ACFD10	5		
68D128D26C3E4C1B857CD175BFD26819	85422C70C70F4D6BA34CE8FE9D7AD2DB	89D6605395794CDAAB7302F06775E831	1		
439A287ACF864BB782B3E8416A9F273D	776F67E59D5C4DC4A690F136DDBE5365	5B1FDC288DEC4A7A98DFAFF4A3ACFD10	5		
9806359C130147EA9BAE335C038823B8	776F67E59D5C4DC4A690F136DDBE5365	D451C9FE43BC416BB38DFC8A188B22E4	1		
27823046288E43AE9679EF17E7198DCC	776F67E59D5C4DC4A690F136DDBE5365	43E285438D3D42A18AE8117A366E56AC	1		
CC4D2CBD18C94AB3887833D3AF67CAC2	776F67E59D5C4DC4A690F136DDBE5365	8E98A57123294F45B3FB09A0A9006D10	1		
5404086108EA43A1AAB4A35BED8C5210	31260D92299D40AE851F951588CC7BE5	5B1FDC288DEC4A7A98DFAFF4A3ACFD10	5		
9D7E82D5770D426285D620E919B5D32E	31260D92299D40AE851F951588CC7BE5	058F756E084A49969C3EBDEA2E98B3A7	1		
