id	name	owned_by_id	managed_by_id	permission_id		
0089CDF2BD3C44288B9646A88EC10A54	Rear Derailleur	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
029AFC2B634246F7A7F1D33EEB45945F	Seat Assembly	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
0AFCA8613A7D459DB1076F950F88717E	Wheel System	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
0D7483BFDFF04295A7791AE49ED09B78	Frame	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
12213A28901844C49CC05AD755D5A743	Tire	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
1B1D7C94A6D14F8F856E7675FB3573AD	Crankset	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
1BC64B0F12A9472481A3FE9F51BC4EB6	Brake Assembly	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
21884B7AF7D5474EB070CF1188780D9E	Seatpost	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
39FC0A35469A4ED2BD3415041D47AFEA	Bottom Bracket	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
441C39D9CBFC4B6FB9FB2A7FA96B8354	Wheelset	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
45BF68FC62DF4F9195424E118AA778F1	Handlebar Assembly	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
534B0B2819BD48D58E133D39E6BC596C	Bicycle	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
53F3A173347E4631B71DD06BFCD38627	Handlebar	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
5DE8CE660820479FBF56661FFE2D5B4A	Frame Assembly	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
64192E41866B47E1BC8C2CE2536C2B2A	Rear Cassette	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
7EEBCAD7FCD54276A6FA940BE6741978	Transmission	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
807F7931F4F6480B9B3769BFF4C88140	Stem	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
9228C7C6FFEB4FF59573D6FB3296C4A0	Rear Shocks	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
B228F26B718240CF85444BAFDDE32B74	Brake	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
BE7F7C69DD2842519D71D3C3E840E20E	Brake Lever	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
BF4381DE8E8245B69C3C066C1ACFA297	Saddle	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
D4BA81DFFE434B36B25BD7987FD2D88F	Pedals	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
E2950013655D4C01A8F69E95227EC7AC	Shifter	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
E3176371FF2343F3B604AA0435AE039A	Control	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
EC150EE12CA24D5FAC2BE319DD620603	Chain	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
F45D3BB1BC5D46AEBE9C6E2D65887DFF	Fork	DBA5D86402BF43D5976854B8B48FCDD1	DBA5D86402BF43D5976854B8B48FCDD1	5BE54C871FB14F6EBC11596D1A010D26		
