id	name	permission_id		
00C7C877F0E945EE817314F8712AA7E4	Bicycle Size	5BE54C871FB14F6EBC11596D1A010D26		
135FC145CCD24E289B799A293A996B9B	Handlebar Type	5BE54C871FB14F6EBC11596D1A010D26		
137AB4D5A3884BEF9751738E9D6E6B6A	Chainring Setup	5BE54C871FB14F6EBC11596D1A010D26		
199DC979D2874964BDA9871CBA809E2D	Derailleur Material	5BE54C871FB14F6EBC11596D1A010D26		
2348FEDB34DE42D3B7A70F17C0DBB36F	Frame Size	5BE54C871FB14F6EBC11596D1A010D26		
282D35D4D4DD4488B6C79675050E76B9	Rim Width	5BE54C871FB14F6EBC11596D1A010D26		
2D9B7374C64243E48AFE004098CD0193	Shocks	5BE54C871FB14F6EBC11596D1A010D26		
3141940FEE594ECBB8D0F5654267E499	Tire Width	5BE54C871FB14F6EBC11596D1A010D26		
320A1CE40FB94E9C92896DB523BE78CD	Fork Material	5BE54C871FB14F6EBC11596D1A010D26		
33D9D7931CD3413B8FBED7C380112BB6	Stem Length	5BE54C871FB14F6EBC11596D1A010D26		
413F3E8FC699482F915CD089CB730477	Cage Length	5BE54C871FB14F6EBC11596D1A010D26		
4DC3046AB23E4037992F358799F88758	Internal Rim Depth	5BE54C871FB14F6EBC11596D1A010D26		
53005649877549C0BAEC58960AA0FAF8	Bicycle Type	5BE54C871FB14F6EBC11596D1A010D26		
6366853A7D5248179A8EB8FB32815565	Rim Size	5BE54C871FB14F6EBC11596D1A010D26		
69DA5886930344E2A684F270C0BB21B9	Frame Material	5BE54C871FB14F6EBC11596D1A010D26		
785B653D5FCB4EFAA22233667DFADB61	Seatpost Material	5BE54C871FB14F6EBC11596D1A010D26		
7D3BD5DC755846C68BD228F4F14B5E18	Travel	5BE54C871FB14F6EBC11596D1A010D26		
835C3DE1411B459AB975C9ABF2F46739	Bottom Bracket Width	5BE54C871FB14F6EBC11596D1A010D26		
8908A56668DE4A9E8EA31389ACDD73C7	Frame Color	5BE54C871FB14F6EBC11596D1A010D26		
8ACC8129718F487EAAA2ADDB15408CFB	Brake Type	5BE54C871FB14F6EBC11596D1A010D26		
A21583C25A2140B8AFEA05CCAC47FF7C	Bottom Bracket Type	5BE54C871FB14F6EBC11596D1A010D26		
AB33ADB780C04772B27FFB197021CDFD	Cogs Combinations	5BE54C871FB14F6EBC11596D1A010D26		
B253CC97FEFF45F6B5E086FBB323AB53	Crankset Material	5BE54C871FB14F6EBC11596D1A010D26		
BCFEACD2D00D4E6C8560B20BE2E34D34	Brake Lever Type	5BE54C871FB14F6EBC11596D1A010D26		
D5106EFD56AE4CC1B6DE9EC9879DDC9B	Speed	5BE54C871FB14F6EBC11596D1A010D26		
D81D79596246475BBCC86A8E6C11F20F	Tire Size	5BE54C871FB14F6EBC11596D1A010D26		
D9DA735CE7B54AA79A71646334CD3D48	Crankarm Length	5BE54C871FB14F6EBC11596D1A010D26		
D9DB024B9D7B4D91BA9A0636ED55B86D	Handlebar Width	5BE54C871FB14F6EBC11596D1A010D26		
EAD8CFDF9E794159AEEE3702498FFBFE	Seatpost Suspension	5BE54C871FB14F6EBC11596D1A010D26		
F35D72593E9646A4B7C4DAA0A03283F8	Saddle Material	5BE54C871FB14F6EBC11596D1A010D26		
F80A41BC231846A5BE8D9A085048A769	Pedal Type	5BE54C871FB14F6EBC11596D1A010D26		
F8A8C23F55164844BABDD49C07AA0580	Stem Material	5BE54C871FB14F6EBC11596D1A010D26		
