id	definition	source_id	related_id		
005C90886C554E7399670F6BBFE8FE70	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="E463F90850B54BA28546E061ACB0683A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="C0369CAE69DB46AFAFA73B6B1ECC102D"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="69DA5886930344E2A684F270C0BB21B9"&gt;&lt;/variable&gt;&lt;named-constant id="A5874874453E48549A629879E62EC2EE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78	5883D71F89E045739A0C8B4463607168		
04A3B4A006434E90B749D76CB3DF749F	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="D9DA735CE7B54AA79A71646334CD3D48"&gt;&lt;/variable&gt;&lt;named-constant id="DB31633D73804BC2A15ACCD521B5D084"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="B253CC97FEFF45F6B5E086FBB323AB53"&gt;&lt;/variable&gt;&lt;named-constant id="3CF6B5E26CBB49C9B30AE362DDFF9BEF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="137AB4D5A3884BEF9751738E9D6E6B6A"&gt;&lt;/variable&gt;&lt;named-constant id="49CF6FDC6CFF4FA1A6A4DD9502821C9E"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	1B1D7C94A6D14F8F856E7675FB3573AD	29063B9CB0644ACCAA33DA968923A4FE		
05B746CA155A4A84B2D11F13FBB39839	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="A9A5A06642F3434B8C8BA0006EAC7E19"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="84EE381695124933A79919386A6F3972"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="69DA5886930344E2A684F270C0BB21B9"&gt;&lt;/variable&gt;&lt;named-constant id="A5874874453E48549A629879E62EC2EE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78	3DC1CA7A07704F7FA4C8363D5EB5B508		
090404793BAB45708979DD04A9B9FB75	&lt;expression&gt;&lt;EQ&gt;&lt;variable id="F35D72593E9646A4B7C4DAA0A03283F8"&gt;&lt;/variable&gt;&lt;named-constant id="A31A5022A60746CDAD154E583C5EEBDC"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/expression&gt;	BF4381DE8E8245B69C3C066C1ACFA297	6A3F007E9CD348E8914AAA4BBBB2655C		
0A17B249B8014AEDA1C793AAECF1350F	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="33D9D7931CD3413B8FBED7C380112BB6"&gt;&lt;/variable&gt;&lt;named-constant id="5AC5C5429C93497D958E9F1357423FBE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="F8A8C23F55164844BABDD49C07AA0580"&gt;&lt;/variable&gt;&lt;named-constant id="F60CE00363034BDD8C59FA33E90D663A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	807F7931F4F6480B9B3769BFF4C88140	08DA7C5D37964B74B7D35FF1A5320C8B		
0C8698DDBC084CCBA9A4E7935B47907B	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="E463F90850B54BA28546E061ACB0683A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="2D4ADBD9709C467F8AD29CD359279FAB"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="69DA5886930344E2A684F270C0BB21B9"&gt;&lt;/variable&gt;&lt;named-constant id="A5874874453E48549A629879E62EC2EE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78	CBCE2163158B4E0DA02ADD83EF3C9FB6		
0D1FCFCC0A5B4FDC861C6EBDD566215F	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="33D9D7931CD3413B8FBED7C380112BB6"&gt;&lt;/variable&gt;&lt;named-constant id="D2B39C1CE2F54BB7A767CE7E9ECC7FFF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="F8A8C23F55164844BABDD49C07AA0580"&gt;&lt;/variable&gt;&lt;named-constant id="F60CE00363034BDD8C59FA33E90D663A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	807F7931F4F6480B9B3769BFF4C88140	44ACD171F7AB49318F4AB8FA68315D4D		
0E89C8A6921C4ED59583D27ACB12F6CC	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="E463F90850B54BA28546E061ACB0683A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="84EE381695124933A79919386A6F3972"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="69DA5886930344E2A684F270C0BB21B9"&gt;&lt;/variable&gt;&lt;named-constant id="A5874874453E48549A629879E62EC2EE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78	1DC718E89EA24F769A88EFEC38224418		
0F28298307B2441BBC35D62F58CB49BD	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="135FC145CCD24E289B799A293A996B9B"&gt;&lt;/variable&gt;&lt;named-constant id="2B5EC81A5CA2405EAF801C0492E95316"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"&gt;&lt;/variable&gt;&lt;named-constant id="9A483AD6171C4269BAC7D002F0581B3A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	53F3A173347E4631B71DD06BFCD38627	A631D7D4F97C48C6A798BF7ECAC6C570		
0FB645EAFDD34D15AE9D2DDAB4406B2B	&lt;expression&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="7D3BD5DC755846C68BD228F4F14B5E18"&gt;&lt;/variable&gt;&lt;named-constant id="6570C32CF86C407F9F69B4806EA447EE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="320A1CE40FB94E9C92896DB523BE78CD"&gt;&lt;/variable&gt;&lt;named-constant id="8E4BDCAEAA0E4F6E8FD0563F25BFADFE"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/expression&gt;	F45D3BB1BC5D46AEBE9C6E2D65887DFF	6F66BD6826634477BCD5A1C63B0909C1		
